date,value
2011-12-01,8.356950233
2012-01-01,8.032781022
2012-02-01,7.497841337
2012-03-01,8.273427242
2012-04-01,7.586742488
2012-05-01,8.57129719
2012-06-01,8.042488619
2012-07-01,8.833913235
2012-08-01,8.260143162
2012-09-01,8.883983998
2012-10-01,8.963688478
2012-11-01,8.976461632
2012-12-01,8.077231598
2013-01-01,7.293515544
2013-02-01,6.928730876
2013-03-01,7.420373496
2013-04-01,7.200413786
2013-05-01,8.311645887
2013-06-01,8.563728426
2013-07-01,9.400010889
2013-08-01,8.73686503
2013-09-01,8.647029999
2013-10-01,9.504546197
2013-11-01,9.435944901
2013-12-01,8.557194969
2014-01-01,8.137723227
2014-02-01,7.336086015
2014-03-01,8.124354037
2014-04-01,7.632779198
2014-05-01,8.465782586
2014-06-01,8.594846691
2014-07-01,8.953243828
2014-08-01,8.540855731
2014-09-01,7.940270572
2014-10-01,9.110074713
2014-11-01,8.95118703
2014-12-01,8.212796372
2015-01-01,8.088018089
2015-02-01,7.3156846
2015-03-01,7.770598693
2015-04-01,7.800138569
2015-05-01,8.109501635
2015-06-01,8.603086111
2015-07-01,9.283040351
2015-08-01,8.545080536
2015-09-01,8.685797765
2015-10-01,8.798586383
2015-11-01,8.705670045
2015-12-01,8.294797222
2016-01-01,8.483107661
2016-02-01,7.764190888
2016-03-01,7.925175319
2016-04-01,7.789551449
2016-05-01,8.425770741
2016-06-01,8.210757288
2016-07-01,8.738367221
2016-08-01,8.553124862
2016-09-01,8.378908834
2016-10-01,8.580690689
2016-11-01,9.062541349
2016-12-01,8.087813699
2017-01-01,8.47461592
2017-02-01,7.435976911
2017-03-01,8.216125806
2017-04-01,7.65060558
2017-05-01,8.313205804
2017-06-01,8.59333423
2017-07-01,8.920833017
2017-08-01,8.18980894
2017-09-01,8.492745317
2017-10-01,8.53017375
2017-11-01,9.078149398
2017-12-01,8.104425327
2018-01-01,8.085456142
2018-02-01,7.475233037
2018-03-01,7.206236729
2018-04-01,7.483327833
2018-05-01,9.120344714
2018-06-01,8.977129087
2018-07-01,9.165800108
2018-08-01,8.091682908
2018-09-01,8.548104884
2018-10-01,8.818346544
2018-11-01,8.91735213
2018-12-01,8.110985884
2019-01-01,7.876180154
2019-02-01,7.407383225
2019-03-01,7.92253751
2019-04-01,7.734496402
2019-05-01,8.3169015
2019-06-01,8.459238172
2019-07-01,8.871231016
2019-08-01,8.399169485
2019-09-01,8.653155565
2019-10-01,8.714530093
2019-11-01,9.195079591
2019-12-01,8.450097285
2020-01-01,10.67535299
2020-02-01,9.622439092
2020-03-01,7.174003322
2020-04-01,3.379360465
2020-05-01,5.994774363
2020-06-01,7.385970377
2020-07-01,8.977886213
2020-08-01,9.9884067
2020-09-01,10.10607004
2020-10-01,9.62157392
2020-11-01,8.22172619
2020-12-01,8.852436323
2021-01-01,5.397436997
2021-02-01,5.079986584
2021-03-01,6.595480816
2021-04-01,8.302849254
2021-05-01,9.13508412
2021-06-01,9.527412272
2021-07-01,9.67716775
2021-08-01,8.841812977
2021-09-01,9.684187538
2021-10-01,9.585130529
2021-11-01,9.79338424
2021-12-01,8.380066922
2022-01-01,8.531886625
2022-02-01,7.230587541
2022-03-01,8.155447298
2022-04-01,7.535429584
2022-05-01,8.602007676
2022-06-01,8.729701801
2022-07-01,8.824918807
2022-08-01,8.660318866
2022-09-01,8.277236492
2022-10-01,8.786536758
2022-11-01,8.897992324
2022-12-01,7.767936227
2023-01-01,8.29090745
2023-02-01,7.144844597
2023-03-01,7.781044842
2023-04-01,7.511073344
2023-05-01,8.772193688
2023-06-01,9.382825601
2023-07-01,8.955684066
2023-08-01,8.254058973
2023-09-01,8.583439241
2023-10-01,8.64660806
2023-11-01,8.640591982
2023-12-01,8.036728156
