Month-Year,Total Casualties
2000-02,7.674462897
2000-03,7.522722093
2000-04,8.176206667
2000-05,8.677013766
2000-06,7.679770703
2000-07,8.145296503
2000-08,8.293602845
2000-09,8.347305352
2000-10,9.039817911
2000-11,9.527511607
2000-12,8.678262661
2001-01,8.476253813
2001-02,7.434987183
2001-03,7.448100586
2001-04,7.406887034
2001-05,8.129997533
2001-06,7.946722118
2001-07,8.203370145
2001-08,8.248642607
2001-09,8.049443773
2001-10,8.734462959
2001-11,9.011717762
2001-12,8.731965168
2002-01,7.81018159
2002-02,7.717982188
2002-03,7.880900844
2002-04,7.720956362
2002-05,8.405346904
2002-06,7.800267676
2002-07,8.574544373
2002-08,8.161464616
2002-09,8.239784538
2002-10,9.556682804
2002-11,9.494886073
2002-12,8.637002032
2003-01,8.117492008
2003-02,7.513583637
2003-03,7.697336953
2003-04,7.710413032
2003-05,8.422715213
2003-06,8.382454655
2003-07,8.738949853
2003-08,8.246188151
2003-09,8.713141803
2003-10,9.142243649
2003-11,8.975351592
2003-12,8.340129453
2004-01,8.269833357
2004-02,7.232231876
2004-03,7.932630679
2004-04,7.865332574
2004-05,8.438256659
2004-06,8.418672554
2004-07,8.105682951
2004-08,8.517305227
2004-09,8.566799601
2004-10,9.181384418
2004-11,8.715638798
2004-12,8.756231306
2005-01,8.13786589
2005-02,7.238291325
2005-03,7.514288772
2005-04,7.894707712
2005-05,8.562562496
2005-06,8.466258574
2005-07,8.589867056
2005-08,8.398366154
2005-09,8.329735773
2005-10,8.824538682
2005-11,9.340742463
2005-12,8.702775103
2006-01,7.813346543
2006-02,7.394622374
2006-03,7.763037724
2006-04,7.410102011
2006-05,8.477035959
2006-06,8.336171267
2006-07,8.916657637
2006-08,8.278509621
2006-09,8.862091918
2006-10,9.005665547
2006-11,9.124858748
2006-12,8.617900652
2007-01,8.379207361
2007-02,7.212850109
2007-03,8.212527242
2007-04,7.76172411
2007-05,8.776737428
2007-06,8.559609331
2007-07,8.816692227
2007-08,8.478085398
2007-09,8.357817419
2007-10,8.425619501
2007-11,8.932924368
2007-12,8.086205505
2008-01,8.202507525
2008-02,8.310344081
2008-03,7.941361166
2008-04,7.91927416
2008-05,8.41125138
2008-06,8.284359369
2008-07,8.558065005
2008-08,8.089907105
2008-09,8.39652671
2008-10,9.107208592
2008-11,8.620428315
2008-12,8.158766592
2009-01,8.180655965
2009-02,6.593861695
2009-03,8.019500689
2009-04,7.803426575
2009-05,8.486310805
2009-06,8.430491659
2009-07,8.859938959
2009-08,8.461552312
2009-09,8.308049661
2009-10,9.052154889
2009-11,9.441988602
2009-12,8.362068189
2010-01,6.715616732
2010-02,7.573520954
2010-03,8.458264637
2010-04,8.024999041
2010-05,8.554599133
2010-06,8.784172386
2010-07,8.809574019
2010-08,8.641348108
2010-09,8.959587439
2010-10,9.310896821
2010-11,9.410586251
2010-12,6.756834477
2011-01,7.704829615
2011-02,7.330718313
2011-03,8.124540329
2011-04,8.274577102
2011-05,8.337337583
2011-06,8.678597696
2011-07,8.712429517
2011-08,8.151507722
2011-09,8.748222604
2011-10,9.060554057
2011-11,8.519735229
2011-12,8.356950233
2012-01,8.032781022
2012-02,7.497841337
2012-03,8.273427242
2012-04,7.586742488
2012-05,8.57129719
2012-06,8.042488619
2012-07,8.833913235
2012-08,8.260143162
2012-09,8.883983998
2012-10,8.963688478
2012-11,8.976461632
2012-12,8.077231598
2013-01,7.293515544
2013-02,6.928730876
2013-03,7.420373496
2013-04,7.200413786
2013-05,8.311645887
2013-06,8.563728426
2013-07,9.400010889
2013-08,8.73686503
2013-09,8.647029999
2013-10,9.504546197
2013-11,9.435944901
2013-12,8.557194969
2014-01,8.137723227
2014-02,7.336086015
2014-03,8.124354037
2014-04,7.632779198
2014-05,8.465782586
2014-06,8.594846691
2014-07,8.953243828
2014-08,8.540855731
2014-09,7.940270572
2014-10,9.110074713
2014-11,8.95118703
2014-12,8.212796372
2015-01,8.088018089
2015-02,7.3156846
2015-03,7.770598693
2015-04,7.800138569
2015-05,8.109501635
2015-06,8.603086111
2015-07,9.283040351
2015-08,8.545080536
2015-09,8.685797765
2015-10,8.798586383
2015-11,8.705670045
2015-12,8.294797222
2016-01,8.483107661
2016-02,7.764190888
2016-03,7.925175319
2016-04,7.789551449
2016-05,8.425770741
2016-06,8.210757288
2016-07,8.738367221
2016-08,8.553124862
2016-09,8.378908834
2016-10,8.580690689
