date,value
2005-08-01,22761
2005-09-01,22575
2005-10-01,23916
2005-11-01,25315
2005-12-01,23586
2006-01-01,20190
2006-02-01,19108
2006-03-01,20060
2006-04-01,19148
2006-05-01,21905
2006-06-01,21541
2006-07-01,23041
2006-08-01,21392
2006-09-01,22900
2006-10-01,23271
2006-11-01,23579
2006-12-01,22269
2007-01-01,20762
2007-02-01,17872
2007-03-01,20349
2007-04-01,19232
2007-05-01,21747
2007-06-01,21209
2007-07-01,21846
2007-08-01,21007
2007-09-01,20709
2007-10-01,20877
2007-11-01,22134
2007-12-01,20036
2008-01-01,18940
2008-02-01,19189
2008-03-01,18337
2008-04-01,18286
2008-05-01,19422
2008-06-01,19129
2008-07-01,19761
2008-08-01,18680
2008-09-01,19388
2008-10-01,21029
2008-11-01,19905
2008-12-01,18839
2009-01-01,18173
2009-02-01,14648
2009-03-01,17815
2009-04-01,17335
2009-05-01,18852
2009-06-01,18728
2009-07-01,19682
2009-08-01,18797
2009-09-01,18456
2009-10-01,20109
2009-11-01,20975
2009-12-01,18576
2010-01-01,14012
2010-02-01,15802
2010-03-01,17648
2010-04-01,16744
2010-05-01,17849
2010-06-01,18328
2010-07-01,18381
2010-08-01,18030
2010-09-01,18694
2010-10-01,19427
2010-11-01,19635
2010-12-01,14098
2011-01-01,15714
2011-02-01,14951
2011-03-01,16570
2011-04-01,16876
2011-05-01,17004
2011-06-01,17700
2011-07-01,17769
2011-08-01,16625
2011-09-01,17842
2011-10-01,18479
2011-11-01,17376
2011-12-01,17044
2012-01-01,15722
2012-02-01,14675
2012-03-01,16193
2012-04-01,14849
2012-05-01,16776
2012-06-01,15741
2012-07-01,17290
2012-08-01,16167
2012-09-01,17388
2012-10-01,17544
2012-11-01,17569
2012-12-01,15809
2013-01-01,13396
2013-02-01,12726
2013-03-01,13629
2013-04-01,13225
2013-05-01,15266
2013-06-01,15729
2013-07-01,17265
2013-08-01,16047
2013-09-01,15882
2013-10-01,17457
2013-11-01,17331
2013-12-01,15717
2014-01-01,15826
2014-02-01,14267
2014-03-01,15800
2014-04-01,14844
2014-05-01,16464
2014-06-01,16715
2014-07-01,17412
2014-08-01,16610
2014-09-01,15442
2014-10-01,17717
2014-11-01,17408
2014-12-01,15972
2015-01-01,15059
2015-02-01,13621
2015-03-01,14468
2015-04-01,14523
2015-05-01,15099
2015-06-01,16018
2015-07-01,17284
2015-08-01,15910
2015-09-01,16172
